ts,timesteps,ep_rew_mean,fps,device,gpu_alloc_mb,gpu_reserved_mb
2025-08-11T02:50:08,3456,,2.57,cuda:0,11,26
2025-08-11T02:50:13,3536,,2.61,cuda:0,11,26
2025-08-11T02:50:23,3488,,2.57,cuda:0,11,26
2025-08-11T02:50:28,3568,,2.61,cuda:0,11,26
2025-08-11T02:50:39,3520,,2.56,cuda:0,11,26
2025-08-11T02:50:43,3600,,2.6,cuda:0,11,26
2025-08-11T02:50:54,3552,,2.56,cuda:0,11,26
2025-08-11T02:50:57,3632,,2.6,cuda:0,11,26
2025-08-11T02:51:09,3584,,2.55,cuda:0,11,26
2025-08-11T02:51:12,3664,,2.6,cuda:0,11,26
2025-08-11T02:51:23,3616,,2.55,cuda:0,11,26
2025-08-11T02:51:26,3696,,2.59,cuda:0,11,26
2025-08-11T02:51:37,3648,,2.55,cuda:0,11,26
2025-08-11T02:51:41,3728,,2.59,cuda:0,11,26
2025-08-11T02:51:52,3680,,2.54,cuda:0,11,26
2025-08-11T02:51:55,3760,,2.58,cuda:0,11,26
2025-08-11T02:52:06,3712,,2.54,cuda:0,11,26
2025-08-11T02:52:09,3792,,2.58,cuda:0,11,26
2025-08-11T02:52:20,3744,,2.54,cuda:0,11,26
2025-08-11T02:52:24,3824,,2.58,cuda:0,11,26
2025-08-11T02:52:34,3776,,2.54,cuda:0,11,26
2025-08-11T02:52:39,3856,,2.57,cuda:0,11,26
2025-08-11T02:52:49,3808,,2.53,cuda:0,11,26
2025-08-11T02:52:54,3888,,2.57,cuda:0,11,26
2025-08-11T02:53:03,3840,,2.53,cuda:0,11,26
2025-08-11T02:53:08,3920,,2.57,cuda:0,11,26
2025-08-11T02:53:18,3872,,2.53,cuda:0,11,26
2025-08-11T02:53:23,3952,,2.56,cuda:0,11,26
2025-08-11T02:53:33,3904,,2.52,cuda:0,11,26
2025-08-11T02:53:37,3984,,2.56,cuda:0,11,26
2025-08-11T02:53:48,3936,,2.52,cuda:0,11,26
2025-08-11T02:53:50,4016,,2.56,cuda:0,11,26
2025-08-11T02:54:03,3968,,2.52,cuda:0,11,26
2025-08-11T02:54:04,4048,,2.56,cuda:0,11,26
2025-08-11T02:54:17,4000,,2.51,cuda:0,11,26
2025-08-11T02:54:19,4080,,2.55,cuda:0,11,26
2025-08-11T02:54:32,4032,,2.51,cuda:0,11,26
2025-08-11T02:54:33,4112,,2.55,cuda:0,11,26
2025-08-11T02:54:47,4064,,2.51,cuda:0,11,26
2025-08-11T02:54:48,4144,,2.55,cuda:0,11,26
2025-08-11T02:55:02,4096,,2.5,cuda:0,11,26
2025-08-11T02:55:04,4176,,2.54,cuda:0,11,26
2025-08-11T02:55:17,4128,,2.5,cuda:0,11,26
2025-08-11T02:55:18,4208,,2.54,cuda:0,11,26
2025-08-11T02:55:31,4160,,2.5,cuda:0,11,26
2025-08-11T02:55:33,4240,,2.54,cuda:0,11,26
2025-08-11T02:55:45,4192,,2.5,cuda:0,11,26
2025-08-11T02:55:47,4272,,2.53,cuda:0,11,26
2025-08-11T02:56:00,4224,,2.49,cuda:0,11,26
2025-08-11T02:56:01,4304,,2.53,cuda:0,11,26
2025-08-11T02:56:14,4256,,2.49,cuda:0,11,26
2025-08-11T02:56:15,4336,,2.53,cuda:0,11,26
2025-08-11T02:56:29,4288,,2.49,cuda:0,11,26
2025-08-11T02:56:30,4368,,2.53,cuda:0,11,26
2025-08-11T02:56:44,4320,,2.48,cuda:0,11,26
2025-08-11T02:56:45,4400,,2.52,cuda:0,11,26
2025-08-11T02:56:59,4432,,2.52,cuda:0,11,26
2025-08-11T02:56:59,4352,,2.48,cuda:0,11,26
2025-08-11T02:57:13,4464,,2.52,cuda:0,11,26
2025-08-11T02:57:14,4384,,2.48,cuda:0,11,26
2025-08-11T02:57:27,4496,,2.52,cuda:0,11,26
2025-08-11T02:57:28,4416,,2.48,cuda:0,11,26
2025-08-11T02:57:41,4528,,2.51,cuda:0,11,26
