ts,timesteps,ep_rew_mean,fps,device,gpu_alloc_mb,gpu_reserved_mb
2025-08-10T23:10:50,13600,,10.53,cuda:0,8,22
2025-08-10T23:10:56,13136,,10.16,cuda:0,8,22
2025-08-10T23:11:01,13712,,10.53,cuda:0,8,22
2025-08-10T23:11:07,13248,,10.16,cuda:0,8,22
2025-08-10T23:11:11,13824,,10.52,cuda:0,8,22
2025-08-10T23:11:17,13360,,10.16,cuda:0,8,22
2025-08-10T23:11:22,13936,,10.52,cuda:0,8,22
2025-08-10T23:11:28,13472,,10.16,cuda:0,8,22
2025-08-10T23:11:33,14048,,10.52,cuda:0,8,22
2025-08-10T23:11:39,13584,,10.17,cuda:0,8,22
2025-08-10T23:11:44,14160,,10.52,cuda:0,8,22
2025-08-10T23:11:50,13696,,10.17,cuda:0,8,22
2025-08-10T23:11:55,14272,,10.52,cuda:0,8,22
2025-08-10T23:12:00,13808,,10.17,cuda:0,8,22
2025-08-10T23:12:05,14384,,10.52,cuda:0,8,22
2025-08-10T23:12:11,13920,,10.17,cuda:0,8,22
2025-08-10T23:12:16,14496,,10.52,cuda:0,8,22
2025-08-10T23:12:22,14032,,10.17,cuda:0,8,22
2025-08-10T23:12:27,14608,,10.52,cuda:0,8,22
2025-08-10T23:12:33,14144,,10.17,cuda:0,8,22
2025-08-10T23:12:38,14720,,10.51,cuda:0,8,22
2025-08-10T23:12:44,14256,,10.18,cuda:0,8,22
2025-08-10T23:12:49,14832,,10.51,cuda:0,8,22
2025-08-10T23:12:54,14368,,10.18,cuda:0,8,22
2025-08-10T23:12:59,14944,,10.51,cuda:0,8,22
2025-08-10T23:13:05,14480,,10.18,cuda:0,8,22
2025-08-10T23:13:10,15056,,10.51,cuda:0,8,22
2025-08-10T23:13:16,14592,,10.18,cuda:0,8,22
2025-08-10T23:13:21,15168,,10.51,cuda:0,8,22
2025-08-10T23:13:27,14704,,10.18,cuda:0,8,22
2025-08-10T23:13:32,15280,,10.51,cuda:0,8,22
2025-08-10T23:13:37,14816,,10.18,cuda:0,8,22
2025-08-10T23:13:43,15392,,10.51,cuda:0,8,22
2025-08-10T23:13:48,14928,,10.19,cuda:0,8,22
2025-08-10T23:13:53,15504,,10.51,cuda:0,8,22
2025-08-10T23:13:59,15040,,10.19,cuda:0,8,22
2025-08-10T23:14:04,15616,,10.51,cuda:0,8,22
2025-08-10T23:14:10,15152,,10.19,cuda:0,8,22
2025-08-10T23:14:15,15728,,10.51,cuda:0,8,22
2025-08-10T23:14:21,15264,,10.19,cuda:0,8,22
2025-08-10T23:14:26,15840,,10.51,cuda:0,8,22
2025-08-10T23:14:31,15376,,10.19,cuda:0,8,22
2025-08-10T23:14:36,15952,,10.5,cuda:0,8,22
2025-08-10T23:14:42,15488,,10.19,cuda:0,8,22
2025-08-10T23:14:47,16064,,10.5,cuda:0,8,22
2025-08-10T23:14:53,15600,,10.19,cuda:0,8,22
2025-08-10T23:14:58,16176,,10.5,cuda:0,8,22
2025-08-10T23:15:09,16352,,10.54,cuda:0,8,22
2025-08-10T23:15:19,16560,,10.61,cuda:0,8,22
2025-08-10T23:15:29,16768,,10.67,cuda:0,8,22
2025-08-10T23:15:40,16976,,10.73,cuda:0,8,22
2025-08-11T02:30:23,128,,11.49,cuda:0,11,26
2025-08-11T02:30:35,288,,12.82,cuda:0,11,26
2025-08-11T02:30:46,448,,13.17,cuda:0,11,26
2025-08-11T02:30:56,576,,13.01,cuda:0,11,26
2025-08-11T02:31:03,96,,7.32,cuda:0,11,26
2025-08-11T02:31:07,672,,12.34,cuda:0,11,26
2025-08-11T02:31:16,224,,8.63,cuda:0,11,26
2025-08-11T02:31:19,800,,11.93,cuda:0,11,26
2025-08-11T02:31:28,352,,9.2,cuda:0,11,26
2025-08-11T02:31:30,896,,11.55,cuda:0,11,26
2025-08-11T02:31:41,480,,9.42,cuda:0,11,26
2025-08-11T02:31:43,1024,,11.3,cuda:0,11,26
2025-08-11T02:31:51,576,,9.41,cuda:0,11,26
2025-08-11T02:31:55,1152,,11.16,cuda:0,11,26
2025-08-11T02:32:04,704,,9.49,cuda:0,11,26
2025-08-11T02:32:09,1280,,11.0,cuda:0,11,26
2025-08-11T02:32:17,832,,9.59,cuda:0,11,26
2025-08-11T02:32:22,1408,,10.83,cuda:0,11,26
2025-08-11T02:32:30,960,,9.66,cuda:0,11,26
2025-08-11T02:32:35,1536,,10.74,cuda:0,11,26
2025-08-11T02:32:42,1088,,9.7,cuda:0,11,26
2025-08-11T02:32:48,1664,,10.7,cuda:0,11,26
2025-08-11T02:32:55,1216,,9.75,cuda:0,11,26
2025-08-11T02:33:01,1792,,10.61,cuda:0,11,26
2025-08-11T02:33:07,1344,,9.8,cuda:0,11,26
2025-08-11T02:33:14,1920,,10.56,cuda:0,11,26
2025-08-11T02:33:20,1472,,9.83,cuda:0,11,26
2025-08-11T02:33:27,2048,,10.51,cuda:0,11,26
2025-08-11T02:33:33,1600,,9.85,cuda:0,11,26
2025-08-11T02:33:38,2144,,10.43,cuda:0,11,26
2025-08-11T02:33:45,1728,,9.89,cuda:0,11,26
2025-08-11T02:33:48,2240,,10.38,cuda:0,11,26
2025-08-11T02:33:55,1824,,9.86,cuda:0,11,26
2025-08-11T02:33:58,2336,,10.33,cuda:0,11,26
2025-08-11T02:34:08,1952,,9.86,cuda:0,11,26
2025-08-11T02:34:12,2464,,10.29,cuda:0,11,26
2025-08-11T02:34:21,2080,,9.85,cuda:0,11,26
2025-08-11T02:34:22,2560,,10.26,cuda:0,11,26
2025-08-11T02:34:32,2176,,9.82,cuda:0,11,26
2025-08-11T02:34:32,2656,,10.2,cuda:0,11,26
2025-08-11T02:34:44,2304,,9.85,cuda:0,11,26
2025-08-11T02:34:45,2784,,10.19,cuda:0,11,26
2025-08-11T02:34:54,2400,,9.83,cuda:0,11,26
2025-08-11T02:34:58,2912,,10.18,cuda:0,11,26
2025-08-11T02:35:06,2528,,9.88,cuda:0,11,26
2025-08-11T02:35:08,3008,,10.15,cuda:0,11,26
2025-08-11T02:35:19,2656,,9.87,cuda:0,11,26
2025-08-11T02:35:21,3136,,10.14,cuda:0,11,26
2025-08-11T02:35:32,3232,,10.11,cuda:0,11,26
2025-08-11T02:35:32,2784,,9.88,cuda:0,11,26
2025-08-11T02:35:45,3360,,10.1,cuda:0,11,26
2025-08-11T02:35:46,2912,,9.85,cuda:0,11,26
2025-08-11T02:35:58,3488,,10.09,cuda:0,11,26
2025-08-11T02:35:58,3040,,9.87,cuda:0,11,26
2025-08-11T02:36:09,3136,,9.85,cuda:0,11,26
2025-08-11T02:36:11,3616,,10.08,cuda:0,11,26
2025-08-11T02:36:21,3264,,9.86,cuda:0,11,26
2025-08-11T02:36:21,3712,,10.05,cuda:0,11,26
2025-08-11T02:36:31,3808,,10.04,cuda:0,11,26
2025-08-11T02:36:34,3392,,9.86,cuda:0,11,26
2025-08-11T02:36:42,3904,,10.02,cuda:0,11,26
2025-08-11T02:36:46,3520,,9.88,cuda:0,11,26
2025-08-11T02:36:52,4000,,10.0,cuda:0,11,26
2025-08-11T02:36:57,3616,,9.86,cuda:0,11,26
2025-08-11T02:37:03,4096,,9.98,cuda:0,11,26
2025-08-11T02:37:10,3744,,9.86,cuda:0,11,26
2025-08-11T02:37:16,4224,,9.97,cuda:0,11,26
2025-08-11T02:37:20,3840,,9.85,cuda:0,11,26
2025-08-11T02:37:29,4352,,9.96,cuda:0,11,26
2025-08-11T02:37:33,3968,,9.86,cuda:0,11,26
2025-08-11T02:37:39,4448,,9.95,cuda:0,11,26
2025-08-11T02:37:45,4096,,9.88,cuda:0,11,26
2025-08-11T02:37:53,4576,,9.93,cuda:0,11,26
2025-08-11T02:37:57,4224,,9.89,cuda:0,11,26
2025-08-11T02:38:06,4704,,9.93,cuda:0,11,26
2025-08-11T02:38:10,4352,,9.89,cuda:0,11,26
2025-08-11T02:38:19,4832,,9.93,cuda:0,11,26
2025-08-11T02:38:24,4480,,9.88,cuda:0,11,26
2025-08-11T02:38:32,4960,,9.91,cuda:0,11,26
2025-08-11T02:38:36,4608,,9.88,cuda:0,11,26
2025-08-11T02:38:43,5056,,9.9,cuda:0,11,26
2025-08-11T02:38:49,4736,,9.88,cuda:0,11,26
2025-08-11T02:38:53,5152,,9.89,cuda:0,11,26
2025-08-11T02:39:00,4832,,9.87,cuda:0,11,26
2025-08-11T02:39:03,5248,,9.88,cuda:0,11,26
2025-08-11T02:39:12,4960,,9.88,cuda:0,11,26
2025-08-11T02:39:16,5376,,9.88,cuda:0,11,26
2025-08-11T02:39:25,5088,,9.89,cuda:0,11,26
2025-08-11T02:39:29,5504,,9.88,cuda:0,11,26
2025-08-11T02:39:38,5216,,9.88,cuda:0,11,26
2025-08-11T02:39:41,5632,,9.89,cuda:0,11,26
2025-08-11T02:39:48,5312,,9.88,cuda:0,11,26
2025-08-11T02:39:52,5728,,9.88,cuda:0,11,26
2025-08-11T02:40:00,5440,,9.89,cuda:0,11,26
2025-08-11T02:40:02,5824,,9.87,cuda:0,11,26
2025-08-11T02:40:13,5568,,9.89,cuda:0,11,26
2025-08-11T02:40:15,5952,,9.87,cuda:0,11,26
2025-08-11T02:40:25,6048,,9.86,cuda:0,11,26
2025-08-11T02:40:26,5696,,9.89,cuda:0,11,26
2025-08-11T02:40:36,6144,,9.86,cuda:0,11,26
2025-08-11T02:40:39,5824,,9.89,cuda:0,11,26
2025-08-11T02:40:49,6272,,9.85,cuda:0,11,26
2025-08-11T02:40:52,5952,,9.88,cuda:0,11,26
2025-08-11T02:40:59,6368,,9.85,cuda:0,11,26
2025-08-11T02:41:05,6080,,9.89,cuda:0,11,26
2025-08-11T02:41:12,6496,,9.84,cuda:0,11,26
2025-08-11T02:41:17,6208,,9.9,cuda:0,11,26
2025-08-11T02:41:25,6624,,9.84,cuda:0,11,26
2025-08-11T02:41:31,6336,,9.89,cuda:0,11,26
2025-08-11T02:41:38,6752,,9.85,cuda:0,11,26
2025-08-11T02:41:44,6464,,9.89,cuda:0,11,26
2025-08-11T02:41:51,6880,,9.84,cuda:0,11,26
2025-08-11T02:41:55,6592,,9.91,cuda:0,11,26
2025-08-11T02:42:05,7008,,9.84,cuda:0,11,26
2025-08-11T02:42:08,6720,,9.91,cuda:0,11,26
2025-08-11T02:42:18,7136,,9.83,cuda:0,11,26
2025-08-11T02:42:21,6848,,9.91,cuda:0,11,26
2025-08-11T02:42:28,7232,,9.83,cuda:0,11,26
2025-08-11T02:42:35,6976,,9.89,cuda:0,11,26
2025-08-11T02:42:38,7328,,9.83,cuda:0,11,26
2025-08-11T02:42:48,7104,,9.9,cuda:0,11,26
2025-08-11T02:42:51,7456,,9.82,cuda:0,11,26
2025-08-11T02:42:58,7200,,9.89,cuda:0,11,26
2025-08-11T02:43:05,7584,,9.82,cuda:0,11,26
2025-08-11T02:43:11,7328,,9.89,cuda:0,11,26
2025-08-11T02:43:18,7712,,9.82,cuda:0,11,26
2025-08-11T02:43:23,7456,,9.9,cuda:0,11,26
2025-08-11T02:43:31,7840,,9.81,cuda:0,11,26
2025-08-11T02:43:36,7584,,9.9,cuda:0,11,26
2025-08-11T02:43:44,7968,,9.82,cuda:0,11,26
2025-08-11T02:43:46,7680,,9.9,cuda:0,11,26
2025-08-11T02:43:54,8064,,9.81,cuda:0,11,26
2025-08-11T02:43:59,7808,,9.9,cuda:0,11,26
2025-08-11T02:44:04,8160,,9.81,cuda:0,11,26
2025-08-11T02:44:11,7936,,9.9,cuda:0,11,26
2025-08-11T02:44:17,8288,,9.81,cuda:0,11,26
2025-08-11T02:44:24,8064,,9.91,cuda:0,11,26
2025-08-11T02:44:31,8416,,9.8,cuda:0,11,26
2025-08-11T02:44:37,8192,,9.91,cuda:0,11,26
2025-08-11T02:44:41,8512,,9.79,cuda:0,11,26
2025-08-11T02:44:47,8288,,9.9,cuda:0,11,26
2025-08-11T02:44:55,8640,,9.79,cuda:0,11,26
2025-08-11T02:45:01,8416,,9.9,cuda:0,11,26
2025-08-11T02:45:05,8736,,9.79,cuda:0,11,26
2025-08-11T02:45:13,8544,,9.9,cuda:0,11,26
2025-08-11T02:45:18,8864,,9.79,cuda:0,11,26
2025-08-11T02:45:26,8672,,9.9,cuda:0,11,26
2025-08-11T02:45:28,8960,,9.78,cuda:0,11,26
2025-08-11T02:45:38,8800,,9.91,cuda:0,11,26
2025-08-11T02:45:38,9056,,9.78,cuda:0,11,26
2025-08-11T02:45:49,9152,,9.77,cuda:0,11,26
2025-08-11T02:45:51,8928,,9.91,cuda:0,11,26
2025-08-11T02:46:01,9280,,9.78,cuda:0,11,26
2025-08-11T02:46:04,9056,,9.91,cuda:0,11,26
2025-08-11T02:46:14,9408,,9.78,cuda:0,11,26
2025-08-11T02:46:15,9184,,9.93,cuda:0,11,26
2025-08-11T02:46:24,9504,,9.78,cuda:0,11,26
2025-08-11T02:46:28,9312,,9.92,cuda:0,11,26
2025-08-11T02:46:37,9632,,9.78,cuda:0,11,26
2025-08-11T02:46:41,9440,,9.93,cuda:0,11,26
2025-08-11T02:46:50,9760,,9.78,cuda:0,11,26
