reason,risk_pct,ema_reward,drawdown,freeze_mode
Multiple entry signals active,1.0100,0.0000,0.0008,False
Multiple entry signals active,1.0100,0.0000,0.0021,False
Multiple entry signals active,1.0100,0.0000,0.0001,False
Multiple entry signals active,1.0100,0.0000,0.0027,False
Multiple entry signals active,1.0100,0.0000,0.0027,False
Multiple entry signals active,1.0100,0.0000,0.0000,False
Multiple entry signals active,1.0100,0.0000,0.0011,False
Multiple entry signals active,1.0200,0.0000,0.0007,False
Multiple entry signals active,1.0200,0.0000,0.0001,False
Multiple entry signals active,1.0200,0.0000,0.0037,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0045,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0000,False
Multiple entry signals active,1.0200,0.0000,0.0021,False
Multiple entry signals active,1.0200,0.0000,0.0001,False
Multiple entry signals active,1.0200,0.0000,0.0008,False
Multiple entry signals active,1.0200,0.0000,0.0011,False
Multiple entry signals active,1.0200,0.0000,0.0008,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0007,False
Multiple entry signals active,1.0200,0.0000,0.0007,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0001,False
Multiple entry signals active,1.0200,0.0000,0.0037,False
Multiple entry signals active,1.0200,0.0000,0.0038,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0000,False
Multiple entry signals active,1.0200,0.0000,0.0001,False
Multiple entry signals active,1.0200,0.0000,0.0008,False
Multiple entry signals active,1.0200,0.0000,0.0021,False
Multiple entry signals active,1.0200,0.0000,0.0011,False
Multiple entry signals active,1.0200,0.0000,0.0008,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0007,False
Multiple entry signals active,1.0200,0.0000,0.0007,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0001,False
Multiple entry signals active,1.0200,0.0000,0.0021,False
Multiple entry signals active,1.0200,0.0000,0.0008,False
Multiple entry signals active,1.0200,0.0000,0.0000,False
Multiple entry signals active,1.0200,0.0000,0.0038,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0037,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0011,False
Multiple entry signals active,1.0200,0.0000,0.0008,False
Multiple entry signals active,1.0200,0.0000,0.0007,False
Multiple entry signals active,1.0200,0.0000,0.0007,False
Multiple entry signals active,1.0200,0.0000,0.0021,False
Multiple entry signals active,1.0200,0.0000,0.0001,False
Multiple entry signals active,1.0200,0.0000,0.0001,False
Multiple entry signals active,1.0200,0.0000,0.0045,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0038,False
Multiple entry signals active,1.0200,0.0000,0.0008,False
Multiple entry signals active,1.0200,0.0000,0.0037,False
Multiple entry signals active,1.0200,0.0000,0.0000,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0011,False
Multiple entry signals active,1.0200,0.0000,0.0008,False
Multiple entry signals active,1.0200,0.0000,0.0007,False
Multiple entry signals active,1.0200,0.0000,0.0007,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0045,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0021,False
Multiple entry signals active,1.0200,0.0000,0.0001,False
Multiple entry signals active,1.0200,0.0000,0.0037,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0008,False
Multiple entry signals active,1.0200,0.0000,0.0011,False
Multiple entry signals active,1.0200,0.0000,0.0038,False
Multiple entry signals active,1.0200,0.0000,0.0000,False
Multiple entry signals active,1.0200,0.0000,0.0008,False
Multiple entry signals active,1.0200,0.0000,0.0007,False
Multiple entry signals active,1.0200,0.0000,0.0007,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0001,False
Multiple entry signals active,1.0200,0.0000,0.0037,False
Multiple entry signals active,1.0200,0.0000,0.0021,False
Multiple entry signals active,1.0200,0.0000,0.0045,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0038,False
Multiple entry signals active,1.0200,0.0000,0.0008,False
Multiple entry signals active,1.0200,0.0000,0.0011,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0001,False
Multiple entry signals active,1.0200,0.0000,0.0000,False
Multiple entry signals active,1.0200,0.0000,0.0008,False
Multiple entry signals active,1.0200,0.0000,0.0007,False
Multiple entry signals active,1.0200,0.0000,0.0007,False
Multiple entry signals active,1.0200,0.0000,0.0001,False
